seed,horizon,arm,branch_label,space,block,value_norm
4,128,D,B384_to_D,observable,residual,2.0334019469419493
4,128,D,B384_to_D,observable,feature,33.27481274189552
4,256,A,B384_to_A,state,theta,3962.3294795096103
4,256,A,B384_to_A,state,EMA,3962.142327586745
4,256,A,B384_to_A,state,m,447.08785453368444
4,256,A,B384_to_A,state,v,74461.52284632185
4,256,A,B384_to_A,state,net_buffer,1.4142135623730951
4,256,A,B384_to_A,state,scaler,128.0
4,256,A,B384_to_A,observable,residual,0.9143427868069051
4,256,A,B384_to_A,observable,feature,44.47481016296016
4,256,B,B384_to_B,state,theta,3962.326970856744
4,256,B,B384_to_B,state,EMA,3962.142257652625
4,256,B,B384_to_B,state,m,411.340254338033
4,256,B,B384_to_B,state,v,71218.27402326706
4,256,B,B384_to_B,state,net_buffer,1.4142135623730951
4,256,B,B384_to_B,state,scaler,128.0
4,256,B,B384_to_B,observable,residual,0.9275077870782307
4,256,B,B384_to_B,observable,feature,44.43809941955782
4,256,C,B384_to_C,state,theta,3962.3300524902
4,256,C,B384_to_C,state,EMA,3962.142317128791
4,256,C,B384_to_C,state,m,445.27981712184277
4,256,C,B384_to_C,state,v,73986.37616996354
4,256,C,B384_to_C,state,net_buffer,1.4142135623730951
4,256,C,B384_to_C,state,scaler,64.0
4,256,C,B384_to_C,observable,residual,0.9228570814129836
4,256,C,B384_to_C,observable,feature,44.40589519360333
4,256,D,B384_to_D,state,theta,3962.327637560878
4,256,D,B384_to_D,state,EMA,3962.142232945765
4,256,D,B384_to_D,state,m,396.15759438997327
4,256,D,B384_to_D,state,v,71369.40023902619
4,256,D,B384_to_D,state,net_buffer,1.4142135623730951
4,256,D,B384_to_D,state,scaler,64.0
4,256,D,B384_to_D,observable,residual,0.9488907071371715
4,256,D,B384_to_D,observable,feature,44.42577894653766
4,500,A,B384_to_A,state,theta,3962.3582775260384
4,500,A,B384_to_A,state,EMA,3962.164745573165
4,500,A,B384_to_A,state,m,412.55287825644984
4,500,A,B384_to_A,state,v,78006.7780197251
4,500,A,B384_to_A,state,net_buffer,1.4142135623730951
4,500,A,B384_to_A,state,scaler,128.0
4,500,A,B384_to_A,observable,residual,0.9249197399023541
4,500,A,B384_to_A,observable,feature,30.756330546366517
4,500,B,B384_to_B,state,theta,3962.3527771379972
4,500,B,B384_to_B,state,EMA,3962.1643329467893
4,500,B,B384_to_B,state,m,377.691958956965
4,500,B,B384_to_B,state,v,72106.81950123684
4,500,B,B384_to_B,state,net_buffer,1.4142135623730951
4,500,B,B384_to_B,state,scaler,128.0
4,500,B,B384_to_B,observable,residual,0.9605858054388681
4,500,B,B384_to_B,observable,feature,30.757991920833152
4,500,C,B384_to_C,state,theta,3962.358712107335
4,500,C,B384_to_C,state,EMA,3962.16470182386
4,500,C,B384_to_C,state,m,413.92315397258733
4,500,C,B384_to_C,state,v,77901.81489887075
4,500,C,B384_to_C,state,net_buffer,1.4142135623730951
4,500,C,B384_to_C,state,scaler,64.0
4,500,C,B384_to_C,observable,residual,0.9709358024567727
4,500,C,B384_to_C,observable,feature,30.708001373756666
4,500,D,B384_to_D,state,theta,3962.3530656314974
4,500,D,B384_to_D,state,EMA,3962.1643811513727
4,500,D,B384_to_D,state,m,377.7641265415965
4,500,D,B384_to_D,state,v,72370.39837131064
4,500,D,B384_to_D,state,net_buffer,1.4142135623730951
4,500,D,B384_to_D,state,scaler,64.0
4,500,D,B384_to_D,observable,residual,0.9579752562369093
4,500,D,B384_to_D,observable,feature,30.789849560906987
5,0,A,B384_to_A,state,theta,3962.0258680928987
5,0,A,B384_to_A,state,EMA,3961.9219321163555
