job_id,seed,arm,kimg,nfe,mid_t,fid50k_full,kid50k_full,samples,sample_seed_start,sample_seed_end,metric_seed,precision,source,fid_timestamp,kid_timestamp,status
seed4-armBmatch-kimg001024-nfe1,4,Bmatch,1024,1,,7.8904000353213117,0.0047811695920920829,50000,0,49999,20260730,fp32,server-main,1787562728.6046965,1787562723.5462024,SEALED_PASS
seed4-armBmatch-kimg001024-nfe2,4,Bmatch,1024,2,0.821,2.7260878756227527,0.00098373712212216106,50000,0,49999,20260730,fp32,server-main,1787562878.9896364,1787562873.645002,SEALED_PASS
seed4-armCmatch-kimg000256-nfe1,4,Cmatch,256,1,,247.08185755930279,0.25073520657157156,50000,0,49999,20260730,fp32,server-main,1787563589.8253572,1787563576.3966506,SEALED_PASS
seed4-armCmatch-kimg000256-nfe2,4,Cmatch,256,2,0.821,45.86776050082122,0.036194919792292307,50000,0,49999,20260730,fp32,server-main,1787563734.9941494,1787563729.8016145,SEALED_PASS
seed4-armCmatch-kimg000384-nfe1,4,Cmatch,384,1,,120.82515891022034,0.11012803509259257,50000,0,49999,20260730,fp32,server-main,1787563674.5212896,1787563669.2616353,SEALED_PASS
seed4-armCmatch-kimg000384-nfe2,4,Cmatch,384,2,0.821,20.036961768384671,0.013611889849849849,50000,0,49999,20260730,fp32,server-main,1787563836.3541205,1787563831.048586,SEALED_PASS
seed4-armCmatch-kimg000512-nfe1,4,Cmatch,512,1,,36.427632806096618,0.029102268383383388,50000,0,49999,20260730,fp32,server-main,1787563769.3040953,1787563764.0297563,SEALED_PASS
seed4-armCmatch-kimg000512-nfe2,4,Cmatch,512,2,0.821,8.0770177623313053,0.0044039927902902809,50000,0,49999,20260730,fp32,server-main,1787563923.2190278,1787563918.2591956,SEALED_PASS
seed4-armCmatch-kimg000640-nfe1,4,Cmatch,640,1,,11.529310352235203,0.006911430425425415,50000,0,49999,20260730,fp32,server-main,1787563911.6103764,1787563906.4430504,SEALED_PASS
seed4-armCmatch-kimg000640-nfe2,4,Cmatch,640,2,0.821,4.2437185820514527,0.0016620501301301373,50000,0,49999,20260730,fp32,server-main,1787564020.7670398,1787564010.9881,SEALED_PASS
seed4-armCmatch-kimg000768-nfe1,4,Cmatch,768,1,,8.1614880753160186,0.0044886945995995763,50000,0,49999,20260730,fp32,server-main,1787564018.1671107,1787564009.3847785,SEALED_PASS
seed4-armCmatch-kimg000768-nfe2,4,Cmatch,768,2,0.821,3.2128698170362338,0.0010567214189189553,50000,0,49999,20260730,fp32,server-main,1787564158.7345095,1787564153.5898488,SEALED_PASS
seed4-armCmatch-kimg000896-nfe1,4,Cmatch,896,1,,7.3377747455491296,0.0041360054479479599,50000,0,49999,20260730,fp32,server-main,1787564099.8719583,1787564094.2858415,SEALED_PASS
seed4-armCmatch-kimg000896-nfe2,4,Cmatch,896,2,0.821,2.9283289434745416,0.00099476164664665705,50000,0,49999,20260730,fp32,server-main,1787564265.6058567,1787564260.4485693,SEALED_PASS
seed4-armCmatch-kimg001024-nfe1,4,Cmatch,1024,1,,7.3846545628219786,0.0043092972072072099,50000,0,49999,20260730,fp32,server-main,1787564194.2358286,1787564189.283867,SEALED_PASS
seed4-armCmatch-kimg001024-nfe2,4,Cmatch,1024,2,0.821,2.8398245166429619,0.00097664659409410427,50000,0,49999,20260730,fp32,server-main,1787564348.7456315,1787564343.631367,SEALED_PASS
seed4-armDmatch-kimg000256-nfe1,4,Dmatch,256,1,,326.80996907491124,0.34241736228478481,50000,0,49999,20260730,fp32,server-main,1787564334.5628703,1787564329.4056337,SEALED_PASS
seed4-armDmatch-kimg000256-nfe2,4,Dmatch,256,2,0.821,177.1449333328643,0.1805878653503504,50000,0,49999,20260730,fp32,server-main,1787564445.6902657,1787564432.707524,SEALED_PASS
seed4-armDmatch-kimg000384-nfe1,4,Dmatch,384,1,,268.21544775262328,0.27136993790290292,50000,0,49999,20260730,fp32,server-main,1787564448.2203124,1787564439.8735924,SEALED_PASS
seed4-armDmatch-kimg000384-nfe2,4,Dmatch,384,2,0.821,66.403929549829655,0.051633248335835817,50000,0,49999,20260730,fp32,server-main,1787564584.8729157,1787564579.7199395,SEALED_PASS
seed4-armDmatch-kimg000512-nfe1,4,Dmatch,512,1,,47.473693258636693,0.038371307760260272,50000,0,49999,20260730,fp32,server-main,1787564525.1497266,1787564520.2386947,SEALED_PASS
seed4-armDmatch-kimg000512-nfe2,4,Dmatch,512,2,0.821,12.596029471309141,0.0079783962537537632,50000,0,49999,20260730,fp32,server-main,1787564690.3690104,1787564685.3009534,SEALED_PASS
seed4-armDmatch-kimg000640-nfe1,4,Dmatch,640,1,,14.48058264303419,0.0098137915715715927,50000,0,49999,20260730,fp32,server-main,1787564624.6712346,1787564619.704729,SEALED_PASS
seed4-armDmatch-kimg000640-nfe2,4,Dmatch,640,2,0.821,3.8886366020052234,0.0018604252552552681,50000,0,49999,20260730,fp32,server-main,1787564784.926678,1787564769.2518253,SEALED_PASS
seed4-armDmatch-kimg000768-nfe1,4,Dmatch,768,1,,12.678008822066808,0.008422092872872872,50000,0,49999,20260730,fp32,server-main,1787564761.9775681,1787564757.182541,SEALED_PASS
seed4-armDmatch-kimg000768-nfe2,4,Dmatch,768,2,0.821,3.3701848634653722,0.0016973591116116085,50000,0,49999,20260730,fp32,server-main,1787564877.0736864,1787564871.8748834,SEALED_PASS
